Title,Published_date,Views,Likes,Comments
The National Anthem of Pakistan ahead of the #HBLPSL8 final 🇵🇰 | MI2T,2023-03-18T15:14:05Z,103581,3177,118
Road To Finals | Multan Sultans vs Lahore Qalandars | Match 34 Final | HBL PSL 8 | MI2T,2023-03-18T15:02:23Z,17335,371,11
Multan Sultans vs Lahore Qalandars | Pitch Side Pre-Match Studio Show | Match 34 Final | MI2T,2023-03-18T14:55:42Z,5458,109,7
Mushtaq Ahmed shares his coaching philosophy | HBL PSL 8 | MI2T,2023-03-18T14:44:28Z,4798,93,5
Opener | Multan Sultans vs Lahore Qalandars | Match 34 Final | HBL PSL 8 | MI2T,2023-03-18T14:06:03Z,29717,621,27
Our Commentators Pick Their Favourite Moments From HBL PSL 8 | MI2T,2023-03-18T13:51:34Z,15360,532,20
🤞 HBL PSL 8 Final Predictions 🤞 | Multan Sultans vs Lahore Qalandars | HBL PSL 8 | Mi2T,2023-03-18T13:33:21Z,21690,523,36
Hamaray Heroes powered by Kingdom Valley - Episode 34 l Kanza Javed,2023-03-18T12:25:35Z,2837,91,8
PCB Chairman Najam Sethi Press Conference,2023-03-18T12:03:28Z,55655,2089,91
Let's Recap Lahore Qalandars Fall of Wickets And Boundaries | Match 33 | HBL PSL 8 | MI2T,2023-03-18T09:00:02Z,12535,273,7
Anybody Else Got this déjà vu Feeling? 🤔 | Let’s Recall the Fun From Last Year | MI2T,2023-03-18T07:30:06Z,52388,1683,166
Let's Recap Peshawar Zalmi's Fall of Wickets And Boundaries | Match 33 | HBL PSL 8 | MI2T,2023-03-18T07:00:31Z,7181,90,6
Full Highlights | Lahore Qalandars vs Peshawar Zalmi | Match 33 | HBL PSL 8 | MI2T,2023-03-17T20:05:00Z,1540050,27595,438
Short Highlights | Lahore Qalandars vs Peshawar Zalmi | Match 33 | HBL PSL 8 | MI2T,2023-03-17T19:35:40Z,832426,14969,222
The man who pulled off Lahore Qalandars’s first successfull chase of the season.Let’s hear from MTB🌟,2023-03-17T19:20:22Z,10914,373,10
